name,type,category,buyCostEnergy,playCostEnergy,playCostWater,playCostPhosphorus,playCostNitrogen,timing,repayRounds,axis,threat,produces,effect,flavor,notes,familyKey,tutorial,startCopies
Hyphal Extension,basic,growth,0,0,1,0,0,any,0,tempo,none,,Grow 1 step: toward all food sources in range.,"Apical tips elongate by turgor pressure, fanning out to colonise every nearby crumb of litter.","GLOBAL targeting (no tap). The backbone of the starting deck (run 4-6 copies). Maps to actions.grow; play is FREE (you paid drawCostEnergy 8 to draw it). The OMNIDIRECTIONAL forage member of the grow trio: spreads to all sensed attractors. Pairs against Apical Drive (player-aimed single direction) and Foraging Fan (radial 1-step). No goal-pathing (R8) — it follows sensed attractors, not the goal. familyKey:basics.",basics,true,5
Leaf Litter Cache,basic,substrate,0,0,0,0,0,early,0,utility,none,,Pick a direction; drop a SMALL nutrient patch at the edge of sensing range.,"Saprotrophs pre-position on a thin scatter of decaying leaf litter, seeding the next colonisation front.","DIRECTIONAL targeting; patchSize=small (R3: patch dropped at sensing-range EDGE in chosen direction, player picks direction NOT distance). Smallest member of the substrate size family (small->medium->large). Maps to actions.addSubstrate, play FREE. Strong EARLY for routing a Grow where you want; near-dud LATE (no time to grow into it). Not auto-include: wasted if no follow-up Grow is queued. familyKey:basics.",basics,true,5
Apical Drive,basic,growth,0,0,1,0,0,early,0,tempo,none,,Grow 1 step: choose a direction.,"Hyphae lock onto a single advance heading, ramming the front across open ground in one committed line.","DIRECTIONAL targeting; growthAmount=1 cycle along the player-aimed vector. Replaces the CUT Chemotropic Probe but is player-AIMED (R8) — the player picks the direction, NOT 'toward the goal' and NOT obstacle-pathing. Genuine straight-vs-branch tradeoff with Hyphal Extension: committing to a heading skips off-axis side piles, so neither dominates. Best EARLY for crossing a known open gap. familyKey:basics.",basics,false,0
Foraging Fan,basic,growth,0,0,1,0,0,any,0,tempo,none,,Grow 1 step: every direction.,"With no gradient to follow, the colony expands isotropically, a slow even ring of probing tips.","GLOBAL-radial growth trick (R3b: 'grow 1 in every direction, no substrate needed'); growthAmount=1 omnidirectional step. No tap. Distinct from the two reaching grows: shortest reach but unconditional and attractor-free, so it works on a barren stretch where Hyphal Extension stalls for lack of a sensed attractor. Not auto-include: wasteful when a clear attractor or aimed line would carry you further per play. familyKey:basics.",basics,false,0
Tropic Lunge,basic,growth,0,0,2,0,0,mid,0,tempo,none,,"Grow 3 steps toward the nearest food source, even if out of range.","Starved tips strain past their normal sensing horizon, lunging for the faintest trace of nutrient.","FIXED per reviewer (high): removed the self-contradictory fallback ('no attractor sensed, yet grow toward nearest attractor within range'); the card is now UNPLAYABLE when no attractor is sensed (R7 — no do-nothing branch). DIRECTIONAL-to-attractor growth trick (R3b: 'grow 3 toward the nearest sensed substrate even if out of range'); growthAmount=3 toward nearest attractor. Targets the attractor, not the goal (R8). Distinct from Apical Drive (player-aimed) and Hyphal Extension (forage all): this one over-reaches to a single nearest attractor. Not auto-include: greyed out on open ground with no attractor, so you must have a patch/pile in or just past range to fire it. familyKey:basics.",basics,false,0
Humus Bed,basic,substrate,0,0,0,0,0,early,0,utility,none,,Pick a direction; drop a MEDIUM patch at the edge of sensing range.,"A built-up bed of rotted humus offers a fat, slow-burning meal for the advancing front.","DIRECTIONAL targeting; patchSize=medium (R3: sensing-range edge in chosen direction, direction only). The MIDDLE member of the substrate size family, sitting between Leaf Litter Cache (small) and Mycorrhizal Mat (large). A bigger attractor and a bigger later Digest yield than the small patch, but no reach difference — pure size differentiation per R3. Not auto-include: same routing-dependence as the small patch, just a heavier commit. familyKey:basics.",basics,false,0
Mycorrhizal Mat,basic,substrate,0,0,0,0,0,mid,0,utility,none,,Pick a direction; drop a LARGE patch at the edge of sensing range.,"A symbiotic mat of mycelium and rootlets lays down a broad, nutrient-dense colonisation target.","DIRECTIONAL targeting; patchSize=large (R3: sensing-range edge in chosen direction, direction only). LARGEST member of the substrate size family. Biggest attractor pull and the richest later Digest reservoir, but identical placement rule to the smaller patches (size is the only lever, R3). Best MID when you want to firmly redirect the front or bank fuel for Digest. Not auto-include: overkill for a quick reroute where the small/medium patch suffices, and wasted LATE. familyKey:basics.",basics,false,0
Saprotrophic Digest,basic,economy,0,0,0,0,1,any,0,resource,none,,"Drain 1 nutrient from every occupied food source, doubling the energy received.",Secreted cellulases and ligninases break litter into absorbable sugars across the whole colonised mat.,"FIXED per reviewer (low): refund realigned to the locked digest base=1 model (R5). Digest base rate = 1 flat nutrient per occupied patch (replaces the old drainFraction 0.5); refund is +1 energy per occupied patch drained — flat, no percentages, scales only with how much substrate you've colonised. GLOBAL targeting (R4: hits ALL occupied substrate, never a specific cell). One-shot energy, NOT an engine (no per-round produce, repayRounds 0) so it cannot break the idle/clock invariant. On a small network (1-5 patches) the refund stays below drawCost 8, so spamming it to draw is net-negative — it only pays off when you have broad substrate you were going to abandon. Relief valve when energy is tight; a waste when you'd rather keep the substrate as a live attractor. familyKey:basics.",basics,false,0
Appressorial Punch,basic,utility,0,0,0,0,0,any,0,utility,none,,Grow hyphae through one selected boulder in-range.,"A melanin-walled appressorium builds enormous turgor to drive a penetration peg through the rock — up to ~8 MPa, as in Magnaporthe.","DIRECTIONAL single-rock target: clears the SINGLE nearest in-range BOULDER toward the goal (R6/R8 — the one approved directional rock case; one whole rock, no distance counting, no cell IDs). clears:['boulder'] = Tier-1 dig, the lightest rung of the terrain ladder; formations/columns/lake-basin still need the real P-gated dig events. NO weak-Grow fallback — if no boulder is in range the card is UNPLAYABLE (R6: no do-nothing). Free floor basic, not resource-gated (keeps the basic floor playable when resource-dry). Not auto-include: useless on an open route with no boulder. familyKey:basics.",basics,false,0
Sclerotial Crust,basic,defense,0,0,0,0,0,mid,0,defense,all,,Tap a point: strands within radius 40 harden — immune to infection and eating for 2 rounds.,"Hyphae aggregate into a hard, melanin-blackened sclerotial rind that pathogens cannot breach.","RADIUS-AROUND-A-TAP targeting; radius=40 (small member of the protect/heal radius family, copying the Amputate radius-60 primitive). Replaces the CUT Septal Plug, which was single-node (R7 — illegal on phone); same reactive-defense identity, now radius-based (R7/R9). Dead card if no threat is near the tapped pocket (NOT auto-include); valuable when a mould cloud or nematode swarm is about to chew your only route. 2-round window forces timing — play too early and immunity lapses before the threat arrives. Free floor basic, ungated. familyKey:basics.",basics,false,0
