name,type,category,buyCostEnergy,playCostEnergy,playCostWater,playCostPhosphorus,playCostNitrogen,timing,axis,threat,produces,effect,flavor,notes,familyKey,targeting,radius,growthAmount,clears
Hyphal Advance,basic,grow,0,0,0,0,0,early,grow,none,growth,GLOBAL. Release the network: every tip runs one growth pulse toward sensed food. Unplayable if no attractor is in sensing range.,"The default hunger of a colony: reach, always, toward the next meal.",,grow-basic,global,,1 pulse,
Radial Flush,basic,growth-trick,0,0,0,0,0,early,grow,none,growth,"GLOBAL. Grow 1 short segment in EVERY direction from every tip, ignoring attractors. Fills a pocket and seeds branches to steer later.",Marasmius throwing a fairy ring outward in every bearing at once.,,grow-basic,global,,1 (omni),
Tropic Lunge,basic,growth-trick,0,0,0,0,0,flex,route,none,growth,"DIRECTIONAL. Aim a straight-line growth burst of 3 segments in a chosen compass direction, ignoring attractors. Punches toward terrain you can't yet sense.",Positive tropism — the tip commits to a bearing and drives.,,grow-basic,directional,,3 (aimed),
Forage Seek,basic,growth-trick,0,0,0,0,0,flex,route,none,growth,"GLOBAL. Grow 3 segments toward the NEAREST food source anywhere on the map, even if out of sensing range. Unplayable if no food remains.",Chemotropism across the dark — the colony always knows where the larder is.,,grow-basic,global,,3 (seek),
Leaf-Litter Lure,basic,substrate,0,0,0,0,0,early,substrate,none,substrate,DIRECTIONAL. Drop a SMALL nutrient patch at the edge of sensing range in a chosen direction. Steers the next Grow; barely feeds.,A scatter of rotting leaf to tempt the frontier onward.,,substrate-ladder,directional,,,
Burst Digest,basic,digest,0,0,0,0,0,flex,energy,none,energy,GLOBAL. Over-digest ALL occupied substrate at once for +1 Energy per occupied patch (flat). Depletes those patches faster than passive income would.,Cash the mat in now — autolysis for a quick meal.,,digest,global,,,
Twig Bed,action,substrate,5,0,0,0,0,early,substrate,none,substrate,"DIRECTIONAL, cooldown 2. Drop a MEDIUM nutrient patch at the edge of sensing range in a chosen direction — enough to lure and lightly feed a branch.","Woody debris: slower to rot, but it holds a frontier.",,substrate-ladder,directional,,,
Log Cache,event,substrate,9,0,0,0,0,mid,substrate,none,substrate,"DIRECTIONAL, one-shot. Drop a LARGE nutrient patch at the edge of sensing range in a chosen direction — a real pile that both lures and feeds a colonisation.","A whole fallen limb, buried and waiting — Xylaria's feast.",,substrate-ladder,directional,,,
Buried Windfall,event,substrate,16,0,0,0,0,late,substrate,none,substrate,"DIRECTIONAL, one-shot. Drop a HUGE nutrient patch at the edge of sensing range in a chosen direction — bridges a barren stretch or bankrolls a late push.",The whole windthrown crown gone under — a season of food in one drop.,,substrate-ladder,directional,,,
Guttation Sip,basic,water,0,0,0,0,0,flex,water,none,water,DIRECTIONAL. Tap a lake edge in a chosen direction for +3 Water (drains one of the edge's ~3 charges). Unplayable if no lake edge is in range.,Hydnellum weeping clear droplets at dawn.,,water-tap,directional,,,
Mineral Etch,basic,phosphorus,0,0,0,0,0,flex,phosphorus,none,phosphorus,DIRECTIONAL. Tap a mineral/crystal rock in a chosen direction for +3 Phosphorus (one of its ~3 charges). Unplayable if no mineral rock is in range.,"Oxalic acid pitting the stone, prying phosphate loose.",,phos-tap,directional,,,
Saprophagy,basic,nitrogen,0,0,0,0,0,flex,nitrogen,none,nitrogen,GLOBAL. Scavenge decay across the network for +1 Nitrogen. The free floor when no worm is dead to digest.,Nitrogen wrung from whatever already died down here.,,nitro-tap,global,,,
Rootlet Bore,basic,dig,0,0,0,0,0,early,route,none,clear,DIRECTIONAL. Clear ONE boulder (1-cell rock) in a chosen direction. Unplayable if no boulder is in range.,Acid-tipped rhizomorphs worrying a pebble out of the way.,,dig-ladder,directional,,,boulder
Rhizomorph Pry,action,dig,6,0,1,0,0,mid,route,none,clear,"DIRECTIONAL, cooldown 2. Clear ONE rock formation (the wide low crystal/ember/fungal masses) in a chosen direction. Unplayable if no formation is in range.",Armillaria's black bootlaces splitting a seam in the mass.,,dig-ladder,directional,,,formation
Serpula Creep,action,dig,12,0,0,2,0,mid,route,none,clear,"DIRECTIONAL, cooldown 3. Clear ONE rock column (a full vertical barrier) in a chosen direction. Unplayable if no column is in range.",Dry rot conducts its own water and walks straight through masonry.,,dig-ladder,directional,,,column
Basin Breach,event,dig,22,0,2,3,0,late,route,none,clear,"DIRECTIONAL, one-shot. Drain and clear the lake basin barrier in a chosen direction — opens the hardest crossing on the map. Unplayable if the basin is not in range.",Undermine the bowl and let the whole lake find the deep dark.,,dig-ladder,directional,,,lake-basin
Universal Solvent,event,dig,18,0,0,2,0,late,route,none,clear,"DIRECTIONAL, one-shot. Clear ANY ONE rock in a chosen direction regardless of class — boulder, formation, column, or lake basin. Unplayable if no rock is in range.",Oxalic acid enough to eat anything the earth put in your way.,,dig-ladder,directional,,,boulder|formation|column|lake-basin
Rhizomorph Cord,engine,energy-engine,9,0,0,0,0,early,energy,none,+2 energy/round,"INSTALL. +2 Energy per round while the network is alive. The cheap, reliable trunk line.","Bundled hyphae as a pipeline, shuttling sugar from the far frontier home.",Energy engine: 2/round. Repay ~5 rounds. Counts to <11 ceiling.,energy-engine,,,,
Xylaria Deadwood Bed,engine,energy-engine,13,0,0,0,0,mid,energy,none,+3 energy/round (broad),"INSTALL. +3 Energy per round, but only while you occupy at least 4 substrate patches (else +1). Rewards a broad, colonised mat.","Dead man's fingers, patiently rendering buried wood to sugar.","Energy engine: up to 3/round, conditional. Repay ~5. Counts to <11 ceiling.",energy-engine,,,,
Sclerotial Battery,engine,energy-engine,15,0,0,1,0,mid,energy,none,+4 energy/round (6 rounds),"INSTALL. +4 Energy per round for 6 rounds, then it exhausts to a spent husk (+0). A finite, front-loaded engine — burn it during a hard stretch.","A sclerotium spending its hoarded store, then going quiet.","Energy engine: 4/round capped, self-exhausting. Repay ~4. Counts to <11 while live.",energy-engine,,,,
Fairy-Ring Metabolism,engine,energy-engine,12,0,0,0,0,mid,energy,none,+2 energy/round + slow growth,"INSTALL. +2 Energy per round, AND once every 3 rounds it also grows 1 omni-segment for free. A slow economy that also creeps.","The ring widens each year, feeding as it goes.",Energy engine: 2/round (growth is exempt). Repay ~6. Counts to <11 ceiling.,energy-engine,,,,
Autolysis,event,energy-burst,7,0,0,0,0,flex,energy,none,energy burst,"GLOBAL, one-shot. Over-digest ALL occupied substrate for +2 Energy per patch (flat). Downside: leaves those patches near-empty, cutting passive income next round.",The colony eats its own stored mass in a rush.,Ungated but real downside (income crash). Flat +2/patch.,energy-burst,global,,,
Enzyme Bloom,event,energy-burst,6,0,2,0,0,flex,energy,none,energy burst,"GLOBAL, one-shot. +3 Energy per occupied patch (flat). Gated by Water — turgor drives the enzyme flush.",A pulse of cellulase across the whole mat at once.,Gated => cheaper than Autolysis for a bigger flat rate.,energy-burst,global,,,
Phosphate Fire,event,energy-burst,8,0,0,2,0,mid,energy,none,energy burst,"GLOBAL, one-shot. +4 Energy per occupied patch (flat). Gated by Phosphorus — ATP spent to redline metabolism.",Every mitochondrion in the mat opened wide for one heartbeat.,Highest flat rate; heavy P gate keeps it honest.,energy-burst,global,,,
Cordyceps Windfall,event,energy-burst,6,0,0,0,2,mid,energy,none,energy burst,"GLOBAL, one-shot. Gain +6 Energy for each dead nematode you have digested this run (flat, min +6). Gated by Nitrogen. Rewards a worm-heavy map.","The predator's fee, paid all at once.","Scales with worm kills; useless-ish on worm-light maps => opportunity cost, not a dud.",energy-burst,global,,,
Anastomosis,extender,draw,8,0,0,0,0,flex,draw,none,+3 basics,INSTALL. Shuffle 3 new Hyphal Advance basics into your draw deck. Extends the clock; the extender itself is not recycled.,Hyphae fusing where they cross — the net rewires itself denser.,,extender,,,,
Chlamydospore Reserve,extender,draw,7,0,0,0,0,flex,draw,none,+3 basics,INSTALL. Shuffle 2 Burst Digest and 1 Leaf-Litter Lure basic into your draw deck. Runway plus a little economy.,Thick-walled survival spores banked against the lean stretch.,,extender,,,,
Rhizomorph Highway,extender,draw,8,0,0,0,0,flex,draw,none,+3 basics,INSTALL. Shuffle 3 Tropic Lunge basics into your draw deck. Runway tuned for punching across barren terrain.,Cord-conducting bundles laid down as express lanes.,,extender,,,,
Mycorrhizal Windfall,extender,draw,14,0,0,0,0,late,draw,none,+5 basics,"INSTALL. Shuffle 5 assorted basics (2 grow, 1 substrate, 1 water tap, 1 mineral tap) into your draw deck. The big late-run runway refill.","A whole root-web of partners, suddenly plugged in.",,extender,,,,
Ghost-Fungus Lantern,engine,draw,11,0,0,0,0,flex,draw,none,draw discount + sensing,"INSTALL. Widens sensing radius so attractors are found sooner, AND the FIRST draw each round costs 3 less Energy. Cheapens the clock without refilling it.",Panellus glow lighting the substrate two body-lengths further out.,Draw-economy engine; does not print master currency (exempt from ceiling).,draw-engine,,,,
Woodwide Web,action,draw,10,0,0,0,0,mid,draw,none,free draw / 3 rounds,"INSTALL, cooldown 3. Next draw this round is FREE (0 Energy). A repeatable pressure valve on the energy-for-cards tax.",The common network sharing what one colony can't afford alone.,,draw-engine,,,,
Osmotic Draught,action,water,6,0,0,0,0,flex,water,none,water harvest,"DIRECTIONAL, cooldown 1. Deep-tap a lake edge in a chosen direction for +6 Water at once (drains 2 charges). The Water harvest option. Unplayable if no lake edge in range.",Suillus drawing hard on the bog it grew beside.,,water,directional,,,
Suillus Bog Mat,engine,water,12,0,0,0,0,mid,water,none,+3 water/round,INSTALL. +3 Water per round while any tip sits within sensing range of a lake; +1 otherwise. Your standing Water supply.,A bolete's felt drinking steadily from the waterline.,Resource engine (exempt from energy ceiling). Repay in tempo.,water,,,,
Turgor Surge,event,water,7,0,3,0,0,flex,growth,none,growth spike,"GLOBAL, one-shot. Gated by Water. Every tip grows 2 segments toward sensed food AND branches denser — a turgor-pressure growth spike across the whole colony.",Cells swelling with water until the whole front lunges.,,water,global,,2 (all tips),
Aquaporin Gate,engine,water,11,0,1,0,0,mid,growth,none,reach engine,"INSTALL. Each round, one growth pulse toward sensed food is 40% longer reach (flat +2 segment length). Sustained traversal engine, Water-themed.",Water channels flung wide so the tip drives further per push.,Growth engine (exempt). Repay in saved grow actions.,water,,,,
Hydraulic Lift,event,water,9,0,2,0,0,mid,route,none,multi-boulder clear,"RADIUS around a tap (radius 90). Gated by Water. Soften and clear every boulder within the radius at once, and lure growth into the cleared ground. Unplayable if no boulder in radius.",Redistributing night water to crack a field of stones.,,water,radius,90,,boulder
Rehydration Bloom,action,water,8,0,1,0,0,flex,general-defense,all,heal,"RADIUS around a tap (radius 100), cooldown 2. Gated by Water. Restore vitality to all strands in the radius and clear any drought/dip. General repair, Water-themed.",Parched hyphae plumping back to life as the water returns.,,water,radius,100,,
Oxalic Bore,action,phosphorus,6,0,0,0,0,flex,phosphorus,none,phosphorus harvest,"DIRECTIONAL, cooldown 1. Deep-etch a mineral rock in a chosen direction for +6 Phosphorus (2 charges). The Phosphorus harvest option. Unplayable if no mineral rock in range.",Crystals of calcium oxalate blooming where the acid bites deepest.,,phosphorus,directional,,,
Glomus Arbuscule,engine,phosphorus,10,0,0,0,0,mid,phosphorus,none,+2 phosphorus/round,INSTALL. +2 Phosphorus per round while alive. The steady mycorrhizal P line.,"Arbuscular hyphae branching inside a root, trading sugar for phosphate.",Resource engine (exempt from energy ceiling).,phosphorus,,,,
